line_cd,station_cd,Alphabet,Number,station_g_cd,station_name,station_name_k,station_name_r,pref_cd,post,add,lon,lat,e_status,e_sort,company_cd,line_name,line_name_k,line_name_h,line_color_c
28001,2800101,G,19,2100201,浅草,あさくさ,ASAKUSA,13, ,東京都台東区,139.797592,35.710733,0,2800101,18,東京メトロ銀座線,ギンザセン,東京メトロ銀座線,F7931D
28001,2800102,G,18,2800102,田原町,たわらまち,TAWARAMACHI,13,111-0035,台東区西浅草１-１-１８,139.790897,35.709897,0,2800102,18,東京メトロ銀座線,ギンザセン,東京メトロ銀座線,F7931D
28001,2800103,G,17,2800103,稲荷町,いなりちょう,INARICHOU,13,110-0015,台東区東上野３-３３-１１,139.782593,35.711273,0,2800103,18,東京メトロ銀座線,ギンザセン,東京メトロ銀座線,F7931D
28001,2800104,G,16,1130220,上野,うえの,UENO,13, ,東京都台東区東上野三丁目19-6,139.777122,35.711482,0,2800104,18,東京メトロ銀座線,ギンザセン,東京メトロ銀座線,F7931D
28001,2800105,G,15,1130221,上野広小路,うえのひろこうじ,UENOHIROKOUJI,13,110-0005,台東区上野３-２９-３,139.772877,35.70768,0,2800105,18,東京メトロ銀座線,ギンザセン,東京メトロ銀座線,F7931D
28001,2800106,G,14,2800106,末広町,すえひろちょう,SUEHIROCHOU,13,101-0021,千代田区外神田４-７-３,139.771713,35.702972,0,2800106,18,東京メトロ銀座線,ギンザセン,東京メトロ銀座線,F7931D
28001,2800107,G,13,1130223,神田,かんだ,KANDA,13, ,東京都千代田区神田須田町一丁目16,139.770899,35.693587,0,2800107,18,東京メトロ銀座線,ギンザセン,東京メトロ銀座線,F7931D
28001,2800108,G,12,1131402,三越前,みつこしまえ,MITSUKOSHIMAE,13,103-0022,中央区日本橋室町１-８-１,139.773594,35.687101,0,2800108,18,東京メトロ銀座線,ギンザセン,東京メトロ銀座線,F7931D
28001,2800109,G,11,2800109,日本橋,にほんばし,NIHONBASHI,13,103-0027,中央区日本橋１丁目,139.773516,35.682078,0,2800109,18,東京メトロ銀座線,ギンザセン,東京メトロ銀座線,F7931D
28001,2800110,G,10,2800110,京橋,きょうばし,KYOUBASHI,13,104-0031,中央区京橋２-２-１０,139.770126,35.676856,0,2800110,18,東京メトロ銀座線,ギンザセン,東京メトロ銀座線,F7931D
28001,2800111,G,09,2800111,銀座,ぎんざ,GINZA,13,104-0061,中央区銀座４-１-２,139.763965,35.671989,0,2800111,18,東京メトロ銀座線,ギンザセン,東京メトロ銀座線,F7931D
28001,2800112,G,08,1130102,新橋,しんばし,SHINBASHI,13, ,東京都港区新橋二丁目17-5,139.758432,35.667434,0,2800112,18,東京メトロ銀座線,ギンザセン,東京メトロ銀座線,F7931D
28001,2800113,G,07,2800113,虎ノ門,とらのもん,TORANOMON,13,105-0001,港区虎ノ門１-１-２１,139.749832,35.670236,0,2800113,18,東京メトロ銀座線,ギンザセン,東京メトロ銀座線,F7931D
28001,2800114,G,06,2800114,溜池山王,ためいけさんのう,TAMEIKESANNO,13,100-0014,千代田区永田町２-１１-１,139.741419,35.673621,0,2800114,18,東京メトロ銀座線,ギンザセン,東京メトロ銀座線,F7931D
28001,2800115,G,05,2800115,赤坂見附,あかさかみつけ,AKASAKAMITSUKE,13,107-0052,港区赤坂３-１-６,139.737047,35.677021,0,2800115,18,東京メトロ銀座線,ギンザセン,東京メトロ銀座線,F7931D
28001,2800116,G,04,2800116,青山一丁目,あおやまいっちょうめ,AOYAMAICCHOME,13,107-0062,港区南青山１-１-１９,139.724159,35.672765,0,2800116,18,東京メトロ銀座線,ギンザセン,東京メトロ銀座線,F7931D
28001,2800117,G,03,2800117,外苑前,がいえんまえ,GAIENMAE,13,107-0061,港区北青山２-７-１６,139.717857,35.670527,0,2800117,18,東京メトロ銀座線,ギンザセン,東京メトロ銀座線,F7931D
28001,2800118,G,02,2800118,表参道,おもてさんどう,OMOTESANDO,13,107-0061,港区北青山３丁目,139.712314,35.665247,0,2800118,18,東京メトロ銀座線,ギンザセン,東京メトロ銀座線,F7931D
28001,2800119,G,01,1130205,渋谷,しぶや,SHIBUYA,13, ,東京都渋谷区道玄坂一丁目1-1,139.701,35.659066,0,2800119,18,東京メトロ銀座線,ギンザセン,東京メトロ銀座線,F7931D
